lastSensorEventHours,lastSensorEventSeconds,lastSensorDayOfWeek,windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorID,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-OutsideDoor,sensorElTime-WorkArea,activity
15.0,57345.0,4.0,50.0,0.0,1.0,3.0,6.0,6.0,6.0,2.112137676769984,0.62,5.0,0.0,0.0,10.740000000000002,0.0,7.34,9.470000000000002,1.0,2.1900000000000004,0.0,3.61,1591.440972,15.822101000000002,86400.0,0.27931,0.343797,0.0,12.50835,99.752882,21.459773,Cook
15.0,57349.0,4.0,54.0,2.0,1.0,3.0,6.0,6.0,6.0,2.3600115303896287,0.6296296296296297,7.0,0.0,0.0,9.61,0.0,8.49,8.33,2.02,2.2300000000000004,0.0,3.67,1594.818625,19.199754,86400.0,1.639794,3.72145,0.0,15.886003,103.130535,24.837426,Cook
15.0,57361.0,4.0,64.0,12.0,1.0,3.0,6.0,6.0,6.0,2.4131324651707398,0.515625,7.0,0.0,0.0,8.390000000000002,0.0,8.57,8.400000000000002,3.04,2.25,0.0,3.700000000000001,1607.172956,31.554085,86400.0,13.994125,16.075781,0.0,28.240334000000004,115.484866,37.191757,Cook
15.0,57362.0,4.0,63.0,1.0,1.0,3.0,6.0,6.0,6.0,2.4430190302453973,0.49206349206349204,7.0,0.0,0.0,7.160000000000003,0.0,8.65,8.470000000000002,4.07,2.2700000000000005,0.0,3.73,1608.310436,32.691565000000004,86400.0,15.131605,17.213261,0.0,29.377814,116.622346,38.329237,Cook
15.0,57367.0,4.0,68.0,5.0,1.0,3.0,6.0,6.0,6.0,2.4607546627667127,0.5,7.0,0.0,0.0,7.2200000000000015,0.0,8.730000000000002,7.240000000000001,5.109999999999999,2.29,0.0,3.7600000000000007,1612.813399,37.19452800000001,86400.0,19.634568,21.716224,0.0,33.880777,121.125309,42.8322,Cook
15.0,57369.0,4.0,51.0,2.0,1.0,3.0,6.0,6.0,6.0,2.4225797618424907,0.35294117647058826,7.0,0.0,0.0,7.280000000000001,0.0,8.81,7.3000000000000025,6.16,2.3100000000000005,0.0,2.49,1614.881831,39.26296,86400.0,21.703000000000007,23.784656,0.0,35.949209,123.193741,44.900632,Cook
15.0,57393.0,4.0,75.0,24.0,1.0,3.0,6.0,6.0,6.0,2.4145272645029525,0.28,7.0,0.0,0.0,7.340000000000002,0.0,8.89,6.060000000000001,7.22,2.33,0.0,2.5100000000000007,1638.692449,63.07357800000001,86400.0,45.513618,47.595274,0.0,59.759827,147.00435900000005,68.71125,Cook
15.0,57394.0,4.0,74.0,1.0,1.0,3.0,6.0,6.0,6.0,2.1726803931294434,0.2702702702702703,7.0,0.0,0.0,7.400000000000001,0.0,8.97,6.110000000000001,8.29,2.3500000000000005,0.0,1.2300000000000002,1639.813086,64.194215,86400.0,46.634255,48.715911,0.0,60.880464,148.124996,69.831887,Cook
15.0,57476.0,4.0,156.0,82.0,1.0,3.0,5.0,5.0,6.0,2.1726803931294434,0.14102564102564102,7.0,0.0,0.0,7.460000000000001,0.0,9.05,5.86,8.370000000000001,2.37,0.0,1.2400000000000002,1722.2179829999998,146.59911200000005,86400.0,129.039152,0.0,82.40489699999998,143.28536100000005,230.529893,152.236784,Cook
15.0,57510.0,4.0,188.0,34.0,1.0,1.0,6.0,6.0,6.0,2.15170737702642,0.11170212765957446,7.0,0.0,0.0,6.2200000000000015,0.0,9.13,5.91,9.45,2.390000000000001,0.0,1.2500000000000002,1756.4428510000002,180.82398,86400.0,163.26402,34.224868,0.0,177.510229,264.754761,186.461652,Cook
