insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
4/22/2019 8:00,MADRID,SEVILLA,4/28/2019 8:30,4/28/2019 11:14,ALVIA,,Turista,Flexible
4/22/2019 10:03,MADRID,VALENCIA,5/20/2019 6:45,5/20/2019 8:38,AVE,21.95,Turista,Promo
4/25/2019 19:19,MADRID,SEVILLA,5/29/2019 6:20,5/29/2019 9:16,AV City,38.55,Turista,Promo
4/24/2019 6:21,SEVILLA,MADRID,5/3/2019 8:35,5/3/2019 15:26,LD-MD,34.35,Turista con enlace,Promo +
4/19/2019 21:13,VALENCIA,MADRID,5/10/2019 9:40,5/10/2019 11:20,AVE,45.3,Turista,Promo
4/13/2019 14:05,MADRID,BARCELONA,4/15/2019 19:30,4/15/2019 22:40,AVE,85.1,Turista,Promo
4/17/2019 19:18,BARCELONA,MADRID,5/4/2019 19:00,5/4/2019 22:00,AVE,98,Preferente,Promo
5/9/2019 3:06,MADRID,VALENCIA,5/21/2019 15:40,5/21/2019 17:22,AVE,33.65,Turista,Promo
5/4/2019 1:17,MADRID,BARCELONA,5/27/2019 7:15,5/27/2019 16:37,R. EXPRES,43.25,Turista,Adulto ida
4/22/2019 15:04,MADRID,SEVILLA,5/16/2019 18:35,5/16/2019 21:08,ALVIA,,Turista,Flexible
4/23/2019 20:22,MADRID,SEVILLA,5/2/2019 17:00,5/2/2019 19:38,AVE,76.3,Turista,Flexible
4/23/2019 20:24,MADRID,SEVILLA,6/1/2019 11:00,6/1/2019 13:32,AVE,61.45,Preferente,Promo
4/17/2019 7:03,BARCELONA,MADRID,5/13/2019 19:00,5/13/2019 22:00,AVE,54.45,Preferente,Promo
4/20/2019 0:49,MADRID,SEVILLA,4/24/2019 13:10,4/24/2019 20:51,MD-LD,34.35,Turista con enlace,Promo +
4/13/2019 0:06,MADRID,SEVILLA,5/7/2019 17:00,5/7/2019 19:38,AVE,,Turista,Promo
4/13/2019 18:02,MADRID,BARCELONA,5/24/2019 15:30,5/24/2019 18:40,AVE,102.15,Turista Plus,Promo
4/17/2019 14:08,BARCELONA,MADRID,5/29/2019 18:25,5/29/2019 20:55,AVE,100.4,Turista,Promo
4/19/2019 18:22,SEVILLA,MADRID,5/5/2019 13:40,5/5/2019 16:10,AVE,,Turista,Flexible
4/17/2019 5:33,MADRID,VALENCIA,4/25/2019 15:40,4/25/2019 17:22,AVE,66.55,Preferente,Promo
5/8/2019 13:28,SEVILLA,MADRID,6/30/2019 7:00,6/30/2019 10:02,AV City,58.95,Turista Plus,Promo
4/18/2019 2:36,MADRID,SEVILLA,5/29/2019 15:00,5/29/2019 17:21,AVE,60.3,Turista,Promo
4/15/2019 6:40,SEVILLA,MADRID,4/25/2019 8:35,4/25/2019 15:26,LD-MD,34.35,Turista con enlace,Promo +
4/29/2019 15:32,MADRID,SEVILLA,5/24/2019 11:05,5/24/2019 13:41,ALVIA,,Preferente,Promo
5/9/2019 15:34,MADRID,BARCELONA,5/10/2019 16:30,5/10/2019 19:15,AVE,107.7,Turista,Flexible
4/21/2019 8:47,MADRID,SEVILLA,4/22/2019 19:00,4/22/2019 21:38,AVE,76.3,Turista,Flexible
4/15/2019 0:17,MADRID,VALENCIA,5/24/2019 12:21,5/24/2019 19:04,REGIONAL,28.35,Turista,Adulto ida
4/28/2019 9:37,SEVILLA,MADRID,5/29/2019 19:15,5/29/2019 21:36,AVE,47.3,Turista,Promo
4/17/2019 9:23,VALENCIA,MADRID,4/21/2019 20:15,4/21/2019 21:55,AVE,,Turista,Flexible
4/30/2019 13:17,MADRID,SEVILLA,5/1/2019 19:00,5/1/2019 21:38,AVE,128.5,Preferente,Flexible
4/16/2019 12:26,VALENCIA,MADRID,5/2/2019 6:38,5/2/2019 14:20,REGIONAL,28.35,Turista,Adulto ida
4/22/2019 7:10,MADRID,BARCELONA,5/17/2019 7:30,5/17/2019 10:40,AVE,75.4,Turista,Promo
5/1/2019 19:15,SEVILLA,MADRID,5/5/2019 12:40,5/5/2019 15:23,AVE,76.3,Turista,Flexible
4/12/2019 13:08,MADRID,VALENCIA,5/10/2019 18:40,5/10/2019 20:20,AVE,,Turista,Promo
4/24/2019 1:29,SEVILLA,MADRID,5/16/2019 19:19,5/16/2019 21:59,INTERCITY,62.2,Turista,Flexible
4/18/2019 23:24,SEVILLA,MADRID,5/30/2019 8:45,5/30/2019 11:15,AVE,76.3,Turista,Flexible
5/4/2019 11:45,MADRID,SEVILLA,5/27/2019 6:20,5/27/2019 9:16,AV City,43.55,Turista,Promo
4/26/2019 23:23,MADRID,VALENCIA,5/16/2019 16:05,5/16/2019 22:47,REGIONAL,28.35,Turista,Adulto ida
5/7/2019 15:19,BARCELONA,MADRID,5/21/2019 12:50,5/21/2019 15:45,AVE-TGV,75.4,Turista,Promo
4/14/2019 23:24,BARCELONA,MADRID,4/21/2019 9:00,4/21/2019 11:45,AVE,143.4,Preferente,Promo
4/20/2019 21:16,BARCELONA,MADRID,5/13/2019 11:00,5/13/2019 13:45,AVE,66.75,Turista,Promo
4/15/2019 18:32,VALENCIA,MADRID,4/27/2019 14:10,4/27/2019 15:48,AVE,39.45,Turista,Promo
5/6/2019 19:34,MADRID,VALENCIA,5/20/2019 19:40,5/20/2019 21:29,AVE,39.45,Turista,Promo
4/21/2019 14:44,MADRID,BARCELONA,5/12/2019 14:30,5/12/2019 17:21,AVE,107.7,Turista,Flexible
4/21/2019 6:52,MADRID,SEVILLA,5/20/2019 7:30,5/20/2019 9:51,AVE,60.3,Turista,Promo
4/21/2019 22:02,MADRID,VALENCIA,5/22/2019 15:30,5/22/2019 22:31,AVE-MD,71,Turista con enlace,Flexible
4/14/2019 14:10,BARCELONA,MADRID,5/30/2019 7:05,5/30/2019 9:50,AVE,80.15,Turista Plus,Promo
4/28/2019 13:28,MADRID,VALENCIA,5/15/2019 16:55,5/15/2019 21:58,AVE-LD,28.05,Turista con enlace,Promo
4/11/2019 22:35,MADRID,BARCELONA,5/24/2019 18:30,5/24/2019 21:20,AVE,,Preferente,Promo
4/12/2019 23:11,MADRID,VALENCIA,6/5/2019 6:08,6/5/2019 12:55,REGIONAL,,Turista,Adulto ida
4/21/2019 11:21,MADRID,VALENCIA,5/24/2019 15:40,5/24/2019 17:22,AVE,57.75,Turista,Promo
5/6/2019 13:31,SEVILLA,MADRID,5/27/2019 19:19,5/27/2019 21:59,INTERCITY,62.2,Turista,Flexible
4/21/2019 6:43,SEVILLA,MADRID,5/2/2019 7:00,5/2/2019 10:02,AV City,49.15,Turista,Promo
4/23/2019 1:09,BARCELONA,MADRID,5/22/2019 8:25,5/22/2019 10:55,AVE,100.4,Turista,Promo
4/23/2019 14:45,MADRID,VALENCIA,4/29/2019 12:40,4/29/2019 14:20,AVE,66.55,Preferente,Promo
5/1/2019 21:42,MADRID,PONFERRADA,5/6/2019 22:14,5/7/2019 4:31,TRENHOTEL,45.8,Turista,Flexible
